Epoch,Iteration,Step,loss,style,content,tv
7,16000,156000,87.1169,19.406391,30.82688,36.883633
7,18000,158000,77.86497,13.895956,32.149197,31.819818
7,20000,160000,89.7673,28.29518,28.488407,32.98372
8,2000,162000,136.22685,20.030077,83.44238,32.754395
8,4000,164000,93.16059,16.86829,46.177094,30.11521
8,6000,166000,123.09948,8.873642,82.6512,31.57464
8,8000,168000,100.14621,12.831412,53.68732,33.627476
8,10000,170000,92.02629,15.814489,46.24073,29.971071
8,12000,172000,123.810486,13.581112,80.822136,29.407246
8,14000,174000,102.24084,21.229118,50.56062,30.451105
8,16000,176000,79.37462,19.444988,26.217983,33.711647
8,18000,178000,75.05266,14.001752,30.749002,30.301905
8,20000,180000,97.92023,28.532427,38.524055,30.863747
9,2000,182000,157.32924,19.910717,105.55408,31.864443
9,4000,184000,174.74573,16.39526,130.04105,28.309414
9,6000,186000,101.51555,8.961116,62.264008,30.290428
9,8000,188000,916.9516,14.189077,875.9729,26.789598
9,10000,190000,236.5761,15.136832,189.62999,31.809277
9,12000,192000,99.567444,13.195574,55.384476,30.9874
9,14000,194000,90.69318,21.160925,40.719334,28.812916
9,16000,196000,86.8978,19.579607,36.103382,31.214806
9,18000,198000,65.78499,13.866831,23.797966,28.120193
9,20000,200000,80.10524,28.16837,22.714003,29.222868
10,2000,202000,141.40054,19.64473,93.39259,28.363228
10,4000,204000,86.459076,16.752378,43.172894,26.53381
10,6000,206000,100.41141,8.8339,65.66452,25.912983
10,8000,208000,86.61374,12.788206,46.106937,27.718594
10,10000,210000,106.60008,15.844532,51.28652,39.469036
10,12000,212000,79.44106,13.39624,35.63554,30.409285
10,14000,214000,98.53808,21.3194,48.530186,28.68849
10,16000,216000,69.376144,19.26728,23.109758,26.999107
10,18000,218000,164.13876,13.197774,124.79546,26.145525
10,20000,220000,377.74664,28.487043,310.1004,39.159214
11,2000,222000,85.25073,19.875317,37.337315,28.0381
11,4000,224000,76.49239,16.83309,33.54364,26.11566
11,6000,226000,90.24734,8.863411,56.432972,24.950953
11,8000,228000,129.96536,13.088196,91.82704,25.050133
